千葉,,,,,,,,,,,,,,,,,,,,
,施設名,実施場所名,施設住所,広さ,屋内・屋外,発注先,金額（平日）,金額（土日祝日）,通信催事可否,机貸出,椅子貸出,電源貸出,注意事項,AGでの手配実績,過去実施時代理店、店舗,AGでの過去実績（PIのみ 期間すべて）,過去トラブルなど,場所（Google Map）,その他備考,区画写真
,ベイシア,ベイシア長生①　食品入口店内ガラス面レジ側,長生郡長生村大字金田3237,約4坪,屋内（風除室含む）,場所とる,"18,000","23,000",要確認,,,,ウォーターサーバー催事不可,,,,,,, 
,ベイシア,ベイシア長生②　食品入口店内ガラス面青果側,長生郡長生村大字金田3237,約4坪,屋内（風除室含む）,場所とる,"18,000","23,000",要確認,,,,ウォーターサーバー催事不可,,,,,,,
,ベイシア,ベイシア長生③　食品入口店内ガラス面レジ側,長生郡長生村大字金田3237,長机1～2台程度,屋内（風除室含む）,場所とる,"18,000","23,000",要確認,,,,ウォーターサーバー催事不可,,,,,,,
,ベイシア,ベイシア長生④　食品入口店内ガラス面青果側,長生郡長生村大字金田3237,長机1～2台程度,屋内（風除室含む）,場所とる,"18,000","23,000",要確認,,,,ウォーターサーバー催事不可,,,,,,,
,ベイシア,ベイシアフードセンター八街,八街市八街字初番杭は20-1,約4坪,屋内（風除室含む）,場所とる,"18,000","23,000",要確認,,,,ウォーターサーバー催事不可,,,,,,,
,ベイシア,ベイシア茂原①　酒側入り口ガラス面(レジ側),茂原市腰当7,要確認,屋内（風除室含む）,場所とる,"18,000","23,000",要確認,,,,ウォーターサーバー催事不可,,,,,,,
,ベイシア,ベイシア茂原②　青果側入口ガラス面(レジ側),茂原市腰当7,要確認,屋内（風除室含む）,場所とる,"18,000","23,000",要確認,,,,ウォーターサーバー催事不可,,,,,,,
,ベイシア,ベイシア市原八幡,市原市八幡字海岸2381-1,約3坪,屋内（風除室含む）,場所とる,"18,000","23,000",要確認,,,,ウォーターサーバー催事不可,,,,,,,
,ららぽーと,ららぽーとTOKYO-BAY①　1階中央広場,船橋市浜町2-1-1,約267.9㎡,屋内（風除室含む）,グラスト,"330,000","660,000",実施不可,,,,,,,,,,,
,ららぽーと,ららぽーとTOKYO-BAY②　かいだん広場,船橋市浜町2-1-1,約55㎡,屋内（風除室含む）,グラスト,"220,000","440,000",実施不可,,,,,,,,,,,
,ららぽーと,ららぽーとTOKYO-BAY③　1階光の広場階段下,船橋市浜町2-1-1,約6.3㎡,屋内（風除室含む）,グラスト,"55,000","110,000",実施不可,,,,,,,,,,,
,ららぽーと,ららぽーとTOKYO-BAY④　西の広場,船橋市浜町2-1-1,約50㎡,屋内（風除室含む）,グラスト,"330,000","660,000",実施不可,,,,,,,,,,,
,ららぽーと,ららぽーとTOKYO-BAY⑤　青のエスカレーター前(ダイニングテラス側),船橋市浜町2-1-1,約42㎡,屋内（風除室含む）,グラスト,"110,000","220,000",実施不可,,,,,,,,,,,
,ららぽーと,ららぽーとTOKYO-BAY⑥　青のエスカレーター下(東側)　,船橋市浜町2-1-1,約42㎡,屋内（風除室含む）,グラスト,"165,000","275,000",実施不可,,,,,,,,,,,
,ららぽーと,ららぽーとTOKYO-BAY⑦　中央広場上(西)　,船橋市浜町2-1-1,約30㎡,屋内（風除室含む）,グラスト,"110,000","220,000",実施不可,,,,,,,,,,,
