埼玉,,,,,場所とる,"21,000","21,000",,,,,,,,,,,,,
,施設名,実施場所名,施設住所,広さ,屋内・屋外,発注先,金額（平日）,金額（土日祝日）,通信催事可否,机貸出,椅子貸出,電源貸出,注意事項,AGでの手配実績,過去実施時代理店、店舗,AGでの過去実績（PIのみ 期間すべて）,過去トラブルなど,場所（Google Map）,その他備考,区画写真
,イトーヨーカドー,イトーヨーカドー浦和①　1階クリーニング屋側,さいたま市浦和区仲町1-7-1,約1.5坪,屋内（風除室含む）,場所取る,"35,000","55,000",要確認,無,無,要確認,買取催事不可,,,,,,, 
,イトーヨーカドー,イトーヨーカドー浦和②　1階サンドラッグ前,さいたま市浦和区仲町1-7-1,約4坪,屋内（風除室含む）,グラスト,"40,000","70,000",要確認,無,無,有,買取催事不可,,,,,,,
,イトーヨーカドー,イトーヨーカドー浦和③　1階休憩室,さいたま市浦和区仲町1-7-1,約3坪,屋内（風除室含む）,場所取る,"25,000","45,000",要確認,無,無,有,買取催事不可,,,,,,,
,イトーヨーカドー,イトーヨーカドー浦和④　1階クリーニング屋側(屋外),さいたま市浦和区仲町1-7-1,約3坪,屋外,場所取る,"25,000","45,000",要確認,無,無,有,買取催事不可,,,,,,,
,イトーヨーカドー,イトーヨーカドー久喜①　１階正面入口,久喜市久喜中央4-9-11,約15坪,屋内（風除室含む）,グラスト,"40,000","70,000",要確認,無,無,有,買取催事不可,,,,,,,
,イトーヨーカドー,イトーヨーカドー久喜②　2階化粧品前,久喜市久喜中央4-9-11,約15坪,屋内（風除室含む）,場所取る,"20,000","40,000",要確認,無,無,有,買取催事不可,,,,,,,
,イトーヨーカドー,イトーヨーカドー久喜③　3階エスカレーター前,久喜市久喜中央4-9-11,約15坪,屋内（風除室含む）,グラスト,"30,000","60,000",要確認,無,無,有,買取催事不可,,,,,,,
,イトーヨーカドー,イトーヨーカドー久喜④　4階エスカレーター前,久喜市久喜中央4-9-11,約15坪,屋内（風除室含む）,グラスト,"30,000","60,000",要確認,無,無,有,買取催事不可,,,,,,,
,イトーヨーカドー,イトーヨーカドー久喜⑤　１階エントランス,久喜市久喜中央4-9-11,66㎡程度,屋内（風除室含む）,場所取る,"55,000","85,000",要確認,,,,,,,,,,,
,イトーヨーカドー,イトーヨーカドー久喜⑥　１階麦の家跡地,久喜市久喜中央4-9-11,36㎡程度,屋内（風除室含む）,場所取る,"55,000","85,000",要確認,,,,,,,,,,,
,イトーヨーカドー,イトーヨーカドー久喜⑦　4階ノジマ前スペース,久喜市久喜中央4-9-11,50㎡程度,屋内（風除室含む）,場所取る,"20,000","25,000",要確認,,,,,,,,,,,
,イトーヨーカドー,イトーヨーカドー久喜⑧　4階ハシモトメガネ前スペース,久喜市久喜中央4-9-11,66㎡程度,屋内（風除室含む）,場所取る,"20,000","25,000",要確認,,,,,,,,,,,
