山梨,,,,,,,,,,,,,,,,,,,,
,施設名,実施場所名,施設住所,広さ,屋内・屋外,発注先,金額（平日）,金額（土日祝日）,通信催事可否,机貸出,椅子貸出,電源貸出,注意事項,AGでの手配実績,過去実施時代理店、店舗,AGでの過去実績（PIのみ 期間すべて）,過去トラブルなど,場所（Google Map）,その他備考,区画写真
,DCM,櫛形店,山梨県南アルプス市桃園1443,店内正面入口（レジ側）,屋内（風除室含む）,,,,要確認,,,,,2025年11月～,KDDI株式会社/auショップ高輪,2025年11月　MNP15件/3日,,リンクはりつけ,, 
,DCM,櫛形店,山梨県南アルプス市桃園1443,風除室,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
,DCM,塩山店,山梨県甲州市塩山下塩後向原910,正面入口前,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
,DCM,塩山店,山梨県甲州市塩山下塩後向原910,風除室,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
,DCM,甲府北口店,山梨県甲府市朝日3-8-54,風除室,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
,DCM,韮崎駅前店,山梨県韮崎市若宮2-7-37,入口付近,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
,DCM,竜王駅前店,山梨県甲斐市大下条1672番地1,入口左風除室,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
,DCM,甲府向町店,山梨県甲府市向町183-1,店内スペース,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
,DCM,甲府向町店,山梨県甲府市向町183-1,屋外スペース,屋外,,,,要確認,,,,,,,,,,,
,DCM,甲府向町店,山梨県甲府市向町183-1,風除室,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
,DCM,甲府向町店,山梨県甲府市向町183-1,駐車場,屋外,,,,要確認,,,,,,,,,,,
,カインズスーパーセンター,都留店,山梨県都留市井倉494番1,ベイシア側風除室,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
,カインズスーパーセンター,都留店,山梨県都留市井倉494番1,店頭右側,屋外,,,,要確認,,,,,,,,,,,
,イオン,石和店,山梨県笛吹市石和町駅前16-1,駅前入口側右手,屋内（風除室含む）,ダイエースペース,"25,000","25,000",要確認,,,,,,,,,,,
,イオン,大月店,山梨県大月市御太刀1-13-29,サービスカウンター横,屋内（風除室含む）,ダイエースペース,"15,000","20,000",要確認,,,,,,,,,,,
,イオン,大月店,山梨県大月市御太刀1-13-29,催事場,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
,イオン,ザ・ビッグ白根店,南アルプス市在家塚580,店頭軒下,屋外,ダイエースペース,"10,000","12,000",要確認,,,,,,,,,,,
,イオン,ザ・ビッグ櫛形店,南アルプス市十五所700-1,店頭軒下,屋外,ダイエースペース,"10,000","12,000",要確認,,,,,,,,,,,
,イオン,ザ・ビッグ富士吉田店,富士吉田市上吉田東6-1-40,1F　エスカレーター横,屋内（風除室含む）,ダイエースペース,"12,000","18,000",要確認,,,,,,,,,,,
,イオン,ザ・ビッグ甲府和戸,甲府市和戸町539-2,店頭軒下,屋外,ダイエースペース,"10,000","12,000",要確認,,,,,,,,,,,
,ベイシアフードセンター,ベイシア都留店,山梨県都留市井倉494-1,風除室,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
,ベイシアフードセンター,ベイシア都留店,山梨県都留市井倉494-1,食品側入口横スペース,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
,ベイシアフードセンター,ベイシア都留店,山梨県都留市井倉494-1,店内出口,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
,コメリPRO,甲府昭和インター店,山梨県甲斐市万才899番地,お問い合わせください,,,,,要確認,,,,,,,,,,,
,ドン・キホーテ,河口湖インター店/1Fレジアウト付近,山梨県富士吉田市松山1590番,4.6㎡,屋内（風除室含む）,自由市場,"13,000","17,000",要確認,,,,,,,,,,,
,MEGAドン・キホーテ,甲府店/1F店内出入口スペース,山梨県甲府市国母6-5-2,4㎡,屋内（風除室含む）,自由市場,"22,000","42,000",要確認,,,,,,,,,,,
,MEGAドン・キホーテUNY,石和店,山梨県笛吹市石和町窪中島154,東側駐車場区画３※食物販専用,屋外,,,,要確認,,,,,,,,,,,
,MEGAドン・キホーテUNY,石和店,山梨県笛吹市石和町窪中島154,東側駐車場区画４※食物販専用,屋外,,,,要確認,,,,,,,,,,,
,MEGAドン・キホーテUNY,石和店,山梨県笛吹市石和町窪中島154,東側駐車場区画５※食物販専用,屋外,,,,要確認,,,,,,,,,,,
,MEGAドン・キホーテUNY,石和店,山梨県笛吹市石和町窪中島154,東側駐車場区画６※食物販専用,屋外,,,,要確認,,,,,,,,,,,
,MEGAドン・キホーテUNY,石和店/1Fエスカレーター横スペース1,山梨県笛吹市石和町窪中島154,3.9㎡,屋内（風除室含む）,自由市場,"32,000","62,000",要確認,,,,ドコモの開催ＮＧ,,,,,,,
,MEGAドン・キホーテUNY,石和店,山梨県笛吹市石和町窪中島154,東出入口(屋外)※食物販専用,屋外,,,,要確認,,,,,,,,,,,
,MEGAドン・キホーテUNY,石和店,山梨県笛吹市石和町窪中島154,北出入口※軽自動車専用,屋外,,,,要確認,,,,,,,,,,,
,ラザウォーク,甲斐双葉【アピタ双葉店】,山梨県甲斐市志田字柿木645-1番地,連絡通路2（chapeau）,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
,ラザウォーク,甲斐双葉【アピタ双葉店】,山梨県甲斐市志田字柿木645-1番地,連絡通路3（チャイハネ前）,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
,ラザウォーク,甲斐双葉【アピタ双葉店】,山梨県甲斐市志田字柿木645-1番地,連絡通路4（TAKA-Q前）,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
,フォレストモール,富士河口湖,山梨県南都留郡富士河口湖町小立8017-1,東急リゾート前,屋外,,,,要確認,,,,,,,,,,,
,フォレストモール,富士河口湖,山梨県南都留郡富士河口湖町小立8017-1,サンドラッグ前,屋外,,,,要確認,,,,,,,,,,,
,フォレストモール,富士河口湖,山梨県南都留郡富士河口湖町小立8017-1,マックスバリュ前,屋外,,,,要確認,,,,,,,,,,,
,フォレストモール,富士川,山梨県南巨摩郡富士川町青柳町973-1,オギノ前,屋外,,,,要確認,,,,,,,,,,,
,フォレストモール,甲斐竜王,山梨県甲斐市富竹新田字大明神河原1714-1,アマノパークス前,屋外,,,,要確認,,,,,,,,,,,
,イオンモール,甲府昭和,山梨県中巨摩郡昭和町飯喰1505-1,ふじさんエスカレーター前,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
,イオンモール,甲府昭和,山梨県中巨摩郡昭和町飯喰1505-1,うぐいすエスカレーター前,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
,イオンモール,甲府昭和,山梨県中巨摩郡昭和町飯喰1505-1,さくら北ブリッジ,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
,イオンモール,甲府昭和,山梨県中巨摩郡昭和町飯喰1505-1,さくら広場,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
,イオンモール,甲府昭和,山梨県中巨摩郡昭和町飯喰1505-1,ほたる南ブリッジ,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
