新潟,,,,,,,,,,,,,,,,,,,,
,施設名,実施場所名,施設住所,広さ,屋内・屋外,発注先,金額（平日）,金額（土日祝日）,通信催事可否,机貸出,椅子貸出,電源貸出,注意事項,AGでの手配実績,過去実施時代理店、店舗,AGでの過去実績（PIのみ 期間すべて）,過去トラブルなど,場所（Google Map）,その他備考,区画写真
,イトーヨーカドー,イトーヨーカドー丸大新潟①　1階催事場,新潟市中央区本町通り6-1122-1,5坪未満,屋内（風除室含む）,グラスト,"30,000","50,000",要確認,,,,,,,,,,, 
,イトーヨーカドー,イトーヨーカドー丸大新潟②　2階催事場,,5坪未満,屋内（風除室含む）,グラスト,"30,000","50,000",要確認,,,,,,,,,,,
,イトーヨーカドー,イトーヨーカドー丸大新潟③　3階催事場,,5坪未満,屋内（風除室含む）,グラスト,"30,000","50,000",要確認,,,,,,,,,,,
,㈱ティ・ジョイ,T・ジョイ新潟万代,新潟市中央区八千代2-5-7 ビルボードプレイス2 3F,3m×2m～6m×3m,屋内（風除室含む）,グラスト,"30,000","50,000",要確認,,,,,,,,,,,
,ユナイテッド・シネマ,ユナイテッド・シネマ新潟,新潟市中央区上近江4-12-20DEKKY401内,長机1～2個,屋内（風除室含む）,グラスト,"25,000","50,000",要確認,,,,毎月1日・水・金は別料金,,,,,,,
,イオンシネマ,イオンシネマ県央,燕市井土巻3-148 イオン県央店となり,2m×2m,屋内（風除室含む）,(平日)グラスト／(週末)ダイエースペース,"20,000","30,000",要確認,,,,契約行為都度確認,,,,,,,
,イオンシネマ,イオンシネマ新潟南,新潟市江南区下早通柳田1丁目1-1 イオンモール新潟南,2m×2m,屋内（風除室含む）,グラスト,"22,000","55,000",要確認,,,,契約行為都度確認,,,,,,,
,イオンシネマ,イオンシネマ新潟西,新潟市西区小新南2丁目1-10 イオン新潟西店3F,2m×2m,屋内（風除室含む）,ダイエースペース,"20,000","25,000",要確認,,,,契約行為都度確認,,,,,,,
,イオンモール,イオンモール新潟南①　１F　マリンコート,新潟市江南区下早通柳田1-1-1,約30坪,屋内（風除室含む）,グラスト,"240,000","480,000",要確認,,,,,,,,,,,
,イオンモール,イオンモール新潟南②　1F マリンコート横,新潟市江南区下早通柳田1-1-1,10.1坪,屋内（風除室含む）,グラスト,"180,000","240,000",要確認,,,,,,,,,,,
,イオンモール,イオンモール新潟南③　1F フラワーコートエスカレーター前,新潟市江南区下早通柳田1-1-1,13.2坪,屋内（風除室含む）,グラスト,"180,000","360,000",要確認,,,,,,,,,,,
,イオンモール,イオンモール新潟南④　1F フラワーコート直営側,新潟市江南区下早通柳田1-1-1,10.1坪,屋内（風除室含む）,グラスト,"180,000","360,000",要確認,,,,,,,,,,,
,イオンモール,イオンモール新潟南⑤　1F スカイコート,新潟市江南区下早通柳田1-1-1,13.7坪,屋内（風除室含む）,グラスト,"120,000","240,000",要確認,,,,,,,,,,,
,イオンモール,イオンモール新潟南⑥　1F ニコアンド前,新潟市江南区下早通柳田1-1-1,10.1坪,屋内（風除室含む）,グラスト,"120,000","240,000",要確認,,,,,,,,,,,
,イオンモール,イオンモール新潟南⑦　2F 未来屋書店前　ブリッジスペース,新潟市江南区下早通柳田1-1-1,5.3坪,屋内（風除室含む）,グラスト,"60,000","120,000",要確認,,,,,,,,,,,
,イオンモール,イオンモール新潟南⑧　3F ブリーズ前　ブリッジスペース,新潟市江南区下早通柳田1-1-1,5.3坪,屋内（風除室含む）,グラスト,"60,000","120,000",要確認,,,,,,,,,,,
