東京,,,,,,,,,,,,,,,,,,,,,
,施設名,実施場所名,施設住所,広さ,屋内・屋外,発注先,金額（平日）,金額（土日祝日）,通信催事可否,机貸出,椅子貸出,電源貸出,注意事項,AGでの手配実績,過去実施時代理店、店舗,AGでの過去実績（PIのみ 期間すべて）,過去トラブルなど,場所（Google Map）,その他備考,区画写真,
,109シネマズ,1０９シネマズ二子玉川,世田谷区玉川1-14-1 「二子玉川ライズ・ショッピングセンター・テラスマーケット」内,4㎡前後,屋内（風除室含む）,場所とる,"113,000","153,000",要確認,,,,レディース・サービスデイは土日祝料金,,,,,,, ,
,109シネマズ,１０９シネマズ木場,江東区木場1-5-30 イトーヨーカドー木場店3F,4㎡前後,屋内（風除室含む）,グラスト,"80,000","110,000",実施不可,,,,レディース・サービスデイは土日祝料金,,,,,,,,
,7Days,セブンデイズ赤羽LaLaガーデンW2,北区赤羽2-10-1,6坪,屋内（風除室含む）,グラスト,"28,300","28,300",要確認,,,,最低1週間以上開催,,,,,,,,
,7Days,セブンデイズ秋津W2,東村山市秋津町5-7-28,8坪,屋内（風除室含む）,グラスト,"31,300","31,300",要確認,,,,最低1週間以上開催,,,,,,,,
,7Days,セブンデイズ秋津4,東村山市秋津町5-13-10,7坪,屋内（風除室含む）,グラスト,"34,400","34,400",要確認,,,,最低3日間以上開催,,,,,,,,
,7Days,セブンデイズ阿佐ヶ谷パールセンターW2,杉並区阿佐ヶ谷南1-47-11,12坪,屋内（風除室含む）,グラスト,"43,600","43,600",要確認,,,,最低1週間以上開催,,,,,,,,
,7Days,セブンデイズ阿佐ヶ谷パールセンターW3,杉並区阿佐ヶ谷南1-48-15,13坪,屋内（風除室含む）,グラスト,"43,600","43,600",要確認,,,,最低2週間以上開催,,,,,,,,
,7Days,セブンデイズ浅草新仲見世W2,台東区浅草1-1-11,10坪,屋内（風除室含む）,グラスト,"52,700","52,700",要確認,,,,最低1週間以上開催,,,,,,,,
,7Days,セブンデイズ大宮ハッピーロードW2,板橋区大山町27-11,6坪,屋内（風除室含む）,グラスト,"28,300","28,300",要確認,,,,最低1週間以上開催,,,,,,,,
,7Days,セブンデイズ学芸大学W2,目黒区鷹番3-1-8,11坪,屋内（風除室含む）,グラスト,"56,300","56,300",要確認,,,,最低1週間以上開催,,,,,,,,
,7Days,セブンデイズ神楽坂,新宿区神楽坂6-25-18,5坪,屋内（風除室含む）,グラスト,"29,300","29,300",要確認,,,,1日単位で貸出可,,,,,,,,
,7Days,セブンデイズ蒲田あすと,大田区蒲田4-5-7,6坪,屋内（風除室含む）,グラスト,"25,200","25,200",要確認,,,,1日単位で貸出可,,,,,,,,
,7Days,セブンデイズ蒲田サンライズW2,大田区西蒲田7-62-4,11坪,屋内（風除室含む）,グラスト,"36,400","36,400",要確認,,,,最低1週間以上開催,,,,,,,,
