栃木,,,,,,,,,,,,,,,,,,,,
,施設名,実施場所名,施設住所,広さ,屋内・屋外,発注先,金額（平日）,金額（土日祝日）,通信催事可否,机貸出,椅子貸出,電源貸出,注意事項,AGでの手配実績,過去実施時代理店、店舗,AGでの過去実績（PIのみ 期間すべて）,過去トラブルなど,場所（Google Map）,その他備考,区画写真
,カスミ,カスミテクノポリス清原店,栃木県宇都宮市ゆいの杜５丁目 26番29号,イートインスペース前,屋内（風除室含む）,,,,実施可能,,,,,2025年11月～,KDDI株式会社/auショップ高輪,2025年11月　MNP15件/3日,,リンクはりつけ,, 
,カスミ,カスミ二宮店,栃木県真岡市石島812,イートインスペース,屋内（風除室含む）,,,,実施可能,,,,,,,,,,,
,カスミ,カスミ二宮店,栃木県真岡市石島813,セルフレジ付近,屋内（風除室含む）,,,,実施可能,,,,,,,,,,,
,イオンタウン,イオンタウン那須,栃木県那須郡那須町 大字高久甲字愛宕前484-1,お問い合わせください,屋内（風除室含む）,,,,実施可能,,,,,,,,,,,
,イオンタウン,イオンタウン那須塩原,那須塩原市島方455,要確認,屋内（風除室含む）,ダイエースペース,"31,000","41,000",要確認,,,,,,,,,,,
,イオン,イオンモール佐野新都市,栃木県佐野市高萩町1324-1,A通路,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
,イオン,イオンモール佐野新都市,栃木県佐野市高萩町1324-1,セントラルコート,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
,イオン,イオンモール佐野新都市,栃木県佐野市高萩町1324-1,セントラルコート横,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
,イオン,イオンモール佐野新都市,栃木県佐野市高萩町1324-1,E通路,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
,イオン,イオンモール佐野新都市,栃木県佐野市高萩町1324-1,1階グランサック前（Ｄ通路）,屋内（風除室含む）,ダイエースペース,"80,000","110,000",要確認,,,,,,,,,,,
,イオン,イオンモール佐野新都市,栃木県佐野市高萩町1324-1,B通路,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
,イオン,イオンモール佐野新都市,栃木県佐野市高萩町1324-1,C通路,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
,イオン,イオンモール佐野新都市,栃木県佐野市高萩町1324-1,ミルフローラ前,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
,イオン,イオンモール佐野新都市,栃木県佐野市高萩町1324-1,１階正面入口,屋内（風除室含む）,ダイエースペース,"25,000","40,000",要確認,,,,,,,,,,,
,カンセキ,カンセキ栃木そのべ店,栃木県栃木市薗部町1-18-7,風除室,屋内（風除室含む）,,,,実施可能,,,,,,,,,,,
,カンセキ,カンセキ黒磯店,栃木県那須塩原市豊浦93-19,風除室,屋内（風除室含む）,,,,実施可能,,,,,,,,,,,
,カンセキ,カンセキ大田原南店,栃木県大田原市浅香1-3546-27,店頭入口前,屋外,,,,実施可能,,,,,,,,,,,
,カンセキ,カンセキ若草店,栃木県宇都宮市若草3-17-3,店頭軒下,屋外,,,,実施可能,,,,,,,,,,,
,カンセキ,カンセキ今市店,栃木県日光市今市1027-5,グリーンプレイス側風除室,屋内（風除室含む）,,,,実施可能,,,,,,,,,,,
,カンセキ,カンセキ新鹿沼店,栃木県鹿沼市万町969,店内売場スペース,屋内（風除室含む）,,,,実施可能,,,,,,,,,,,
,カンセキ,カンセキ烏山店,栃木県那須烏山市旭1-3527,レジアウト,屋内（風除室含む）,,,,実施可能,,,,,,,,,,,
,カンセキ,カンセキ雀宮店,栃木県宇都宮市茂原2-4-27,入口付近,屋内（風除室含む）,,,,実施可能,,,,,,,,,,,
,カンセキ,カンセキ茂木店,栃木県芳賀郡茂木町茂木244-2,入口付近,屋内（風除室含む）,,,,実施可能,,,,,,,,,,,
,カンセキ,カンセキ真岡店,栃木県真岡市白布ヶ丘7-8,本館側風除室,屋内（風除室含む）,,,,実施可能,,,,,,,,,,,
,カンセキ,カンセキ市貝店,栃木県芳賀郡市貝町大字赤羽3651-1,入口付近,屋内（風除室含む）,,,,実施可能,,,,,,,,,,,
,カンセキ,カンセキ氏家店,栃木県さくら市桜野967,店頭軒下,屋外,,,,実施可能,,,,,,,,,,,
,カンセキ,カンセキ高根沢店,栃木県塩谷郡高根沢町光陽台1-5-2,店内入口付近,屋内（風除室含む）,,,,実施可能,,,,,,,,,,,
,カンセキ,カンセキ栃木店,栃木県栃木市平柳町2-23-9,サービスカウンター横,屋内（風除室含む）,,,,実施可能,,,,,,,,,,,
,カンセキ,カンセキ小金井店,栃木県下野市川中子3329-85,入口付近,屋内（風除室含む）,,,,実施可能,,,,,,,,,,,
,DCM,DCM上三川店,栃木県河内郡上三川町大字上三川字愛宕4740-1,,,,,,実施不可,,,,,,,,,,,
,DCM,DCM陽東店,栃木県宇都宮市陽東8-22-10,,,,,,実施不可,,,,,,,,,,,
,DCM,DCM足利店,栃木県足利市助戸1-696-1,,,,,,実施不可,,,,,,,,,,,
,TSUTAYA,ビッグワンTSUTAYAさくら店,栃木県さくら市櫻野505,,,,,,実施不可,,,,,,,,,,,
,TSUTAYA,TSUTAYA宇都宮テクノ店,栃木県宇都宮市ゆいの杜4-1-39,,,,,,実施不可,,,,,,,,,,,
,TSUTAYA,TSUTAYA自治医大店,栃木県下野市医大前3-1-1,書籍売場,屋内（風除室含む）,,,,実施可能,,,,,,,,,,,
,TSUTAYA,TSUTAYA栃木城内店,栃木県栃木市城内町2丁目6番23号,,,,,,実施不可,,,,,,,,,,,
,TSUTAYA,TSUTAYA今市店,栃木県日光市今市1091-1,軒下スペース,屋外,,,,実施可能,,,,,,,,,,,
,TSUTAYA,TSUTAYA宇都宮南店,栃木県宇都宮市針ヶ谷町472番地7,レンタル側入り口正面,屋内（風除室含む）,,,,実施可能,,,,,,,,,,,
,TSUTAYA,TSUTAYA佐野店,栃木県佐野市田島町51番地,入口付近,屋内（風除室含む）,,,,実施可能,,,,,,,,,,,
,TSUTAYA,TSUTAYA宇都宮インターパーク店,栃木県宇都宮市インターパーク1丁目3番地3,店内スペース,屋内（風除室含む）,,,,実施可能,,,,,,,,,,,
,TSUTAYA,TSUTAYA真岡店,栃木県真岡市亀山1丁目20番4号,風除室,屋内（風除室含む）,,,,実施可能,,,,,,,,,,,
,TSUTAYA,TSUTAYA宇都宮東簗瀬店,栃木県宇都宮市東簗瀬1丁目41-3,,,,,,実施不可,,,,,,,,,,,
,TSUTAYA,TSUTAYAハートランド大田原店,栃木県大田原市若草1-711,,,,,,実施可能,,,,,,,,,,,
,TSUTAYA,TSUTAYA400号西那須野店,栃木県那須塩原市太夫塚6-232-8,,,,,,実施可能,,,,,,,,,,,
,TSUTAYA,TSUTAYA小山ロブレ店,栃木県小山市中央町3丁目7-1ロブレ小山2F,,,,,,実施可能,,,,,,,,,,,
,TSUTAYA,TSUTAYA BOOKSTOREおやまハーヴェストウォーク,栃木県小山市喜沢1475おやまゆうえんハーヴェストウォーク,,,,,,実施可能,,,,,,,,,,,
,,宇都宮西川田本町複合商業施設,栃木県宇都宮市西川田本町3-4-5,屋外スペース,屋外,,,,要確認,,,,,,,,,,,
,ダイユー,スーパーマーケットダイユー那須高原店,栃木県那須郡那須町大字高久乙2865番地1,イートインコーナー前,屋内（風除室含む）,,,,実施可能,,,,,,,,,,,
,ダイユー,スーパーマーケットダイユー那須高原店,栃木県那須郡那須町大字高久乙2865番地2,出入口横,屋内（風除室含む）,,,,実施可能,,,,,,,,,,,
,イトーヨーカドー,イトーヨーカドー宇都宮店,栃木県宇都宮市陽東6-2-1,旧喫煙所(個室・清掃済),屋内（風除室含む）,,,,要確認,,,,,,,,,,,
