神奈川,,,,,,,,,,,,,,,,,,,,
,施設名,実施場所名,施設住所,広さ,屋内・屋外,発注先,金額（平日）,金額（土日祝日）,通信催事可否,机貸出,椅子貸出,電源貸出,注意事項,AGでの手配実績,過去実施時代理店、店舗,AGでの過去実績（PIのみ 期間すべて）,過去トラブルなど,場所（Google Map）,その他備考,区画写真
,マックスバリュ,秦野東田原店,神奈川県秦野市東田原96-1,店頭軒下,屋外,,,,要確認,,,,,2025年11月～,KDDI株式会社/auショップ高輪,2025年11月　MNP15件/3日,,リンクはりつけ,, 
,マックスバリュ,開成店,神奈川県足柄上郡開成町延沢730-1,エスカレーター前,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
,マックスバリュ,平塚四之宮店,神奈川県平塚市四之宮2-18-26,エスカレーター横,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
,マックスバリュ,平塚四之宮店,神奈川県平塚市四之宮2-18-26,エスカレーター前,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
,マックスバリュ,小田原荻窪店,神奈川県小田原市荻窪447-1,エスカレーター前,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
,マックスバリュ,厚木妻田店,神奈川県厚木市妻田北2-13-16,サッカー台付近出入り口,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
,マックスバリュ,厚木妻田店,神奈川県厚木市妻田北2-13-16,風除室,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
,マックスバリュ,湯河原店,神奈川県足柄下郡湯河原町中央1-21-1,入り口付近,屋外,,,,要確認,,,,,,,,,,,
,マックスバリュエクスプレス,茅ヶ崎浜須賀店,神奈川県茅ヶ崎市松が丘2-10-16,駐車場,屋外,,,,要確認,,,,,,,,,,,
,マックスバリュエクスプレス,寒川中瀬店,神奈川県高座郡寒川町中瀬2-10,駐車場,屋外,,,,要確認,,,,,,,,,,,
,マックスバリュ,開成駅前店,神奈川県足柄上郡開成町吉田島4350-1,お問い合わせ下さい,屋外,,,,要確認,,,,,,,,,,,
,マックスバリュ,秦野渋沢店,神奈川県秦野市堀川119-1,上りエスカレーター前,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
,マックスバリュエクスプレス,厚木下荻野店,神奈川県厚木市下荻野453-1,風除室（バス停側入り口）,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
,マックスバリュエクスプレス,厚木下荻野店,神奈川県厚木市下荻野453-1,店内スペース,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
,マックスバリュエクスプレス,厚木下荻野店,神奈川県厚木市下荻野453-1,店頭軒下,屋外,,,,要確認,,,,,,,,,,,
,マックスバリュ,南足柄岩原店,神奈川県南足柄市岩原286,店頭軒下,屋外,,,,要確認,,,,,,,,,,,
,マックスバリュ,南足柄岩原店,神奈川県南足柄市岩原286,入口付近,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
,あおばスポーツパーク,あおばスポーツパーク,神奈川県横浜市港北区北新横浜1-12,屋上スペース,屋外,,,,要確認,,,,,,,,,,,
,トップフレッシュマーケット,岸根店,神奈川県横浜市神奈川区六角橋6-31-6,店頭※毎月1日・15日催事不可,屋外,,,,要確認,,,,,,,,,,,
,ニューヤヒロパルケ,稲田堤駅前店,神奈川県川崎市多摩区菅1-2-4,お問い合わせください,,,,,要確認,,,,,,,,,,,
