群馬エリア,,,,,,,,,,,,,
,施設名,実施場所名,施設住所,広さ,屋内・屋外,発注先,金額（平日）,金額（土日祝日）,通信催事可否,机貸出,椅子貸出,電源貸出,注意事項
,JAファーマーズ野田宿①,南側入口風除室,北群馬郡吉岡町上野田1050-3,長机1台分程,屋内（風除室含む）,グラスト,"25,000","25,000",要確認,要確認,要確認,要確認,
,JAファーマーズ野田宿②,北側入口風除室,北群馬郡吉岡町上野田1050-3,長机1台分程,屋内（風除室含む）,グラスト,"25,000","25,000",要確認,要確認,要確認,要確認,
,JAファーマーズ朝日町,イートインスペース,前橋市朝日町一丁目38番21号,長机2台分～,屋内（風除室含む）,グラスト,"25,000","25,000",要確認,要確認,要確認,要確認,
,JAファーマーズブレイス①,屋外軒下,太田市新田市野井町438-1,長机1～2台分程,屋外,グラスト,"10,000","10,000",要確認,要確認,要確認,要確認,
,JAファーマーズブレイス②,屋内入口付近(左側),太田市新田市野井町438-1,長机2～3台分程,屋内（風除室含む）,グラスト,"25,000","25,000",要確認,要確認,要確認,要確認,
,JAファーマーズ朝倉町,風除室,前橋市朝倉町143番地1,長机2台分程,屋内（風除室含む）,グラスト,"25,000","25,000",要確認,要確認,要確認,要確認,
,JAファーマーズ太田藪塚,屋外軒下,太田市大原町2311番地1,長机1～2台分程,屋外,グラスト,"25,000","25,000",要確認,要確認,要確認,要確認,
,JAファーマーズ富岡①,屋外軒下,富岡市富岡1878-1,長机1～2台分程,屋外,グラスト,"10,000","10,000",要確認,要確認,要確認,要確認,
,JAファーマーズ富岡②,店内or風除室,富岡市富岡1878-1,長机1～2台分程,屋内（風除室含む）,グラスト,"20,000","20,000",要確認,要確認,要確認,要確認,
,JAファーマーズ高崎吉井①,店頭軒下,高崎市吉井町片山448番地1,長机2台分～,屋外,グラスト,"25,000","25,000",要確認,要確認,要確認,要確認,イートインコーナーの場合、机・椅子使用可
,JAファーマーズ高崎吉井②,イートインスペース,高崎市吉井町片山448番地1,長机1台分～,屋内（風除室含む）,グラスト,"25,000","25,000",要確認,要確認,要確認,要確認,イートインコーナーの場合、机・椅子使用可
,JAファーマーズあがつま,イートインスペース,吾妻郡東吾妻町大字原町5116,長机2～3台程,屋内（風除室含む）,グラスト,"25,000","25,000",要確認,要確認,要確認,要確認,
,Aコープ下仁田①,屋外軒下,甘楽郡下仁田町下仁田383-3,長机1～2台分程,屋外,グラスト,"20,000","20,000",要確認,要確認,要確認,要確認,
,Aコープ下仁田②,風除室,甘楽郡下仁田町下仁田383-3,長机1～2台分程,屋内（風除室含む）,グラスト,"25,000","25,000",要確認,要確認,要確認,要確認,
,Aコープ北橘,サッカー台付近,渋川市北橘町真壁1386-1,長机1台分程,屋内（風除室含む）,グラスト,"25,000","25,000",要確認,要確認,要確認,要確認,
,Aコープハピネス①,屋外軒下,富岡市中高瀬400-1,長机1～2台分程,屋外,グラスト,"10,000","10,000",要確認,要確認,要確認,要確認,
,Aコープハピネス②,店内入口付近,富岡市中高瀬400-1,長机1～2台分程,屋内（風除室含む）,グラスト,"20,000","20,000",要確認,要確認,要確認,要確認,
,Aコープ笠懸①,屋外軒下,みどり市笠懸町鹿2916,長机1～2台分程,屋外,グラスト,"10,000","10,000",要確認,要確認,要確認,要確認,火曜日催事不可
,Aコープ笠懸②,風除室,みどり市笠懸町鹿2916,長机1台分程,屋内（風除室含む）,グラスト,"25,000","25,000",要確認,要確認,要確認,要確認,火曜日催事不可
,Aコープみやぎ,風除室,前橋市鼻毛石町198-11,長机1～2台分程,屋内（風除室含む）,グラスト,"25,000","25,000",要確認,要確認,要確認,要確認,
,Aコープ松井田,屋外軒下,安中市松井田町松井田305,長机1～2台分程,屋外,グラスト,"10,000","10,000",要確認,要確認,要確認,要確認,
,新鮮ぐんまみのり館,屋外軒下,前橋市亀里町1307-1,長机1～2台分程,屋外,グラスト,"10,000","10,000",要確認,要確認,要確認,要確認,
,蔦屋書店前橋吉岡①,店内スペース,北群馬郡吉岡町大久保見柳東877-1,長机1～2台分程,屋内（風除室含む）,グラスト,"40,000","40,000",要確認,無,無,無,
,蔦屋書店前橋吉岡②,風除室,北群馬郡吉岡町大久保見柳東877-1,長机1～2台分程,屋内（風除室含む）,グラスト,"40,000","40,000",要確認,無,無,無,
,蔦屋書店前橋吉岡③,軒下,北群馬郡吉岡町大久保見柳東877-1,長机1～2台分程,屋外,グラスト,"40,000","40,000",要確認,無,無,無,
,蔦屋書店前橋みなみモール①,店内スペース,前橋市新堀町940,長机1～2台分程,屋内（風除室含む）,グラスト,"40,000","40,000",要確認,無,無,無,
,蔦屋書店前橋みなみモール②,風除室,前橋市新堀町940,長机1～2台分程,屋内（風除室含む）,グラスト,"40,000","40,000",要確認,無,無,無,
