茨城,,,,,,,,,,,,,,,,,,,,
,施設名,実施場所名,施設住所,広さ,屋内・屋外,発注先,金額（平日）,金額（土日祝日）,通信催事可否,机貸出,椅子貸出,電源貸出,注意事項,AGでの手配実績,過去実施時代理店、店舗,AGでの過去実績（PIのみ 期間すべて）,過去トラブルなど,場所（Google Map）,その他備考,区画写真
,ベイシア,ベイシア古河総和①　食品入り口ガラス面　レジ側　,古河市大堤682,約4坪,屋内（風除室含む）,グラスト,"30,000","30,000",要確認,,,,,,,,,,, 
,ベイシア,ベイシア古河総和②　食品入り口ガラス面（フードコート側）,古河市大堤682,約2坪,屋内（風除室含む）,グラスト,"30,000","30,000",要確認,,,,,,,,,,,
,ベイシア,ベイシア玉造,行方市玉造甲642-1,約3坪,屋内（風除室含む）,グラスト,"30,000","30,000",要確認,,,,ウォーターサーバー催事不可,,,,,,,
,イオンモール,イオンモールつくば①　1F イーストコート,つくば市稲岡66-1,22坪,屋内（風除室含む）,グラスト,"240,000","540,000",要確認,,,,,,,,,,,
,イオンモール,イオンモールつくば②　1F センターコート,つくば市稲岡66-1, 約54m²,屋内（風除室含む）,グラスト,"240,000","480,000",要確認,,,,,,,,,,,
,イオンモール,イオンモールつくば③　1F ウエストコート,つくば市稲岡66-1,約35m²,屋内（風除室含む）,グラスト,"180,000","360,000",要確認,,,,,,,,,,,
,イオンモール,イオンモールつくば④　イーストコート2F（イオン前）,つくば市稲岡66-1,約2坪（約8m²）,屋内（風除室含む）,ダイエースペース,"80,000","160,000",要確認,,,,,,,,,,,
,イオンモール,イオンモールつくば⑤　2F ブリッジA（アクシーズファム前）,つくば市稲岡66-1,約2坪（約8m²）,屋内（風除室含む）,グラスト,"90,000","180,000",要確認,,,,,,,,,,,
,イオンモール,イオンモールつくば⑥　2F ブリッジB（ジュエリーツツミ前）,つくば市稲岡66-1,約2坪（約8m²）,屋内（風除室含む）,グラスト,"90,000","180,000",要確認,,,,,,,,,,,
,イオンモール,イオンモールつくば⑦　2F ブリッジC（ウィゴー前）,つくば市稲岡66-1,約2坪（約8m²）,屋内（風除室含む）,グラスト,"90,000","180,000",要確認,,,,,,,,,,,
,イオンモール,イオンモールつくば⑧　2F ブリッジD（じぶんまくら前）,つくば市稲岡66-1,約2坪（約8m²）,屋内（風除室含む）,グラスト,"90,000","180,000",要確認,,,,,,,,,,,
,イオンモール,イオンモールつくば⑨　3F ブリッジA（ゲンキキッズ前）,つくば市稲岡66-1,約2坪（約8m²）,屋内（風除室含む）,グラスト,"90,000","180,000",要確認,,,,,,,,,,,
