長野,,,,,,,,,,,,,,,,,,,,
,施設名,実施場所名,施設住所,広さ,屋内・屋外,発注先,金額（平日）,金額（土日祝日）,通信催事可否,机貸出,椅子貸出,電源貸出,注意事項,AGでの手配実績,過去実施時代理店、店舗,AGでの過去実績（PIのみ 期間すべて）,過去トラブルなど,場所（Google Map）,その他備考,区画写真
,イトーヨーカドー,イトーヨーカドー南松本①　1階 映画館側入口,松本市高宮中1-20,約5坪,屋内（風除室含む）,グラスト,"40,000","70,000",要確認,,,,,,,,,,, 
,イトーヨーカドー,イトーヨーカドー南松本②　3階 エスカレーター横,松本市高宮中1-20,約2坪,屋内（風除室含む）,,"30,000","60,000",要確認,,,,,,,,,,,
,ベイシア,ベイシアスーパーマーケット佐久平モール,佐久市佐久平駅南24-1,約3坪,屋内（風除室含む）,グラスト,"40,000","40,000",要確認,,,,,,,,,,,
,ベイシア,ベイシア更埴,千曲市大字桜堂字西沖333-1,約3坪,屋内（風除室含む）,グラスト,"40,000","40,000",要確認,,,,,,,,,,,
,ベイシア,ベイシア東御,東御市祢津1115-1,約4坪,屋内（風除室含む）,グラスト,"40,000","40,000",要確認,,,,,,,,,,,
,ベイシア,ベイシア飯山,飯山市大字静間1967,約4坪,屋内（風除室含む）,グラスト,"40,000","40,000",要確認,,,,,,,,,,,
,ベイシア,ベイシアあづみの堀金,安曇野市堀金烏川5142-1,約3坪,屋内（風除室含む）,グラスト,"40,000","40,000",要確認,,,,,,,,,,,
,TOHOシネマズ,TOHOシネマズ上田,上田市天神3-5-1 アリオ上田内,約1m×2m,屋内（風除室含む）,グラスト,"78,750","78,750",要確認,,,,契約行為不可,,,,,,,
,イオンシネマ,イオンシネマ松本,松本市中央4丁目9番51号 イオンモール松本 空庭 2階,2m×2m,屋内（風除室含む）,グラスト,"30,000","60,000",要確認,,,,契約行為都度確認,,,,,,,
,イオンモール,イオンモール松本①　晴庭1F きらめきコート,松本市中央4丁目9番51号,"約93,65㎡",屋内（風除室含む）,グラスト,"226,000","370,000",要確認,,,,,,,,,,,
,イオンモール,イオンモール松本②　晴庭1F かがやきコート,松本市中央4丁目9番51号,"約58,60㎡",屋内（風除室含む）,グラスト,"252,000","420,000",要確認,,,,,,,,,,,
,イオンモール,イオンモール松本③　晴庭2F 無印良品前南側,松本市中央4丁目9番51号,約7.5㎡,屋内（風除室含む）,グラスト,"72,000","120,000",要確認,,,,,,,,,,,
,イオンモール,イオンモール松本④　晴庭3F 吹き抜け北側　,松本市中央4丁目9番51号,約6㎡,屋内（風除室含む）,グラスト,"144,000","240,000",要確認,,,,,,,,,,,
,イオンモール,イオンモール松本⑤　晴庭3F 吹き抜け南側,松本市中央4丁目9番51号,約9㎡,屋内（風除室含む）,グラスト,"72,000","120,000",要確認,,,,,,,,,,,
,イオンモール,イオンモール松本⑥　風庭1F エスカレータ北側,松本市中央4丁目9番51号,約12㎡,屋内（風除室含む）,グラスト,"96,000","144,000",要確認,,,,,,,,,,,
,イオンモール,イオンモール松本⑦　風庭1F エスカレータ南側,松本市中央4丁目9番51号,約9㎡,屋内（風除室含む）,グラスト,"96,000","144,000",要確認,,,,,,,,,,,
,イオンモール,イオンモール佐久平①　1F セントラルコートメイン会場(グローバルワーク側),佐久市佐久平駅南11-10,約25坪,屋内（風除室含む）,グラスト,"106,000","190,000",要確認,,,,,,,,,,,
